miRNA_ID	Target_ID
hsa-miR-23b-3p	ENSG00000183723
hsa-miR-27a-3p	ENSG00000163697
hsa-miR-27a-3p	ENSG00000231500
hsa-miR-27a-3p	ENSG00000142864
hsa-miR-27a-3p	ENSG00000138166
hsa-miR-27a-3p	ENSG00000138180
hsa-miR-27a-3p	ENSG00000170100
hsa-miR-27a-3p	ENSG00000108298
hsa-miR-27a-3p	ENSG00000133731
hsa-miR-27a-3p	ENSG00000197879
hsa-miR-27a-3p	ENSG00000168283
hsa-miR-27a-3p	ENSG00000141564
hsa-miR-27a-3p	ENSG00000167548
hsa-miR-27a-3p	ENSG00000148396
hsa-miR-27a-3p	ENSG00000055130
hsa-miR-27a-3p	ENSG00000075292
hsa-miR-27a-3p	ENSG00000051596
hsa-miR-27a-3p	ENSG00000111676
hsa-miR-27a-3p	ENSG00000178921
hsa-miR-27a-3p	ENSG00000123191
hsa-miR-27a-3p	ENSG00000172661
hsa-miR-27a-3p	ENSG00000138326
hsa-miR-27a-3p	ENSG00000243678
hsa-miR-27a-3p	ENSG00000100242
hsa-miR-23a-3p	ENSG00000095951
hsa-miR-23a-3p	ENSG00000167114
hsa-miR-23a-3p	ENSG00000087095
hsa-miR-23a-3p	ENSG00000196924
hsa-miR-23a-3p	ENSG00000144580
hsa-miR-23a-3p	ENSG00000067225
hsa-miR-23a-3p	ENSG00000174718
hsa-miR-23a-3p	ENSG00000130402
hsa-miR-23a-3p	ENSG00000172354
hsa-miR-23a-3p	ENSG00000108654
hsa-miR-23a-3p	ENSG00000133026
hsa-miR-23a-3p	ENSG00000118922
hsa-miR-23a-3p	ENSG00000205189
hsa-miR-23a-3p	ENSG00000075790
hsa-miR-23a-3p	ENSG00000215193
hsa-miR-23a-3p	ENSG00000076108
hsa-miR-23a-3p	ENSG00000141002
hsa-miR-23a-3p	ENSG00000198034
hsa-miR-23a-3p	ENSG00000196367
hsa-miR-23a-3p	ENSG00000070669
hsa-miR-23a-3p	ENSG00000178035
hsa-miR-23a-3p	ENSG00000149136
hsa-miR-23a-3p	ENSG00000139835
hsa-miR-23a-3p	ENSG00000125107
