miRNA_ID	Target_ID
hsa-miR-495-3p	ENSG00000196081
hsa-miR-1275	ENSG00000111684
hsa-miR-3065-5p	ENSG00000106733
hsa-miR-1229-3p	ENSG00000174453
hsa-miR-1229-3p	ENSG00000175352
hsa-miR-1229-3p	ENSG00000105497
hsa-miR-3065-5p	ENSG00000122691
hsa-miR-495-3p	ENSG00000083312
hsa-miR-3065-5p	ENSG00000213949
hsa-miR-1229-3p	ENSG00000115461
hsa-miR-1229-3p	ENSG00000104064
hsa-miR-3065-5p	ENSG00000141510
hsa-miR-1275	ENSG00000162063
hsa-miR-1275	ENSG00000120075
hsa-miR-1229-3p	ENSG00000156471
hsa-miR-1275	ENSG00000174891
hsa-miR-1275	ENSG00000102245
hsa-miR-4488	ENSG00000146376
hsa-miR-3065-5p	ENSG00000146072
hsa-miR-3065-5p	ENSG00000163735
hsa-miR-1275	ENSG00000130429
hsa-miR-4488	ENSG00000130429
hsa-miR-495-3p	ENSG00000105576
hsa-miR-3065-5p	ENSG00000232119
hsa-miR-1275	ENSG00000152380
hsa-miR-4488	ENSG00000152380
hsa-miR-495-3p	ENSG00000088766
hsa-miR-495-3p	ENSG00000249471
hsa-miR-495-3p	ENSG00000170178
hsa-miR-1275	ENSG00000090530
hsa-miR-1275	ENSG00000157064
hsa-miR-495-3p	ENSG00000138083
hsa-miR-1229-3p	ENSG00000177108
hsa-miR-1229-3p	ENSG00000249471
hsa-miR-3065-5p	ENSG00000105948
hsa-miR-1229-3p	ENSG00000133028
hsa-miR-1229-3p	ENSG00000136436
hsa-miR-3065-5p	ENSG00000186188
hsa-miR-495-3p	ENSG00000110315
hsa-miR-1229-3p	ENSG00000101337
hsa-miR-3065-5p	ENSG00000138336
hsa-miR-495-3p	ENSG00000120992
hsa-miR-495-3p	ENSG00000103496
hsa-miR-495-3p	ENSG00000179820
hsa-miR-495-3p	ENSG00000064652
hsa-miR-3065-5p	ENSG00000234444
hsa-miR-3065-5p	ENSG00000127954
hsa-miR-3065-5p	ENSG00000163349
hsa-miR-1275	ENSG00000187239
hsa-miR-1229-3p	ENSG00000065183
hsa-miR-3065-5p	ENSG00000165240
hsa-miR-495-3p	ENSG00000184661
hsa-miR-495-3p	ENSG00000196705
hsa-miR-3065-5p	ENSG00000140521
hsa-miR-495-3p	ENSG00000139651
hsa-miR-495-3p	ENSG00000142279
hsa-miR-1229-3p	ENSG00000126953
hsa-miR-3065-5p	ENSG00000197471
hsa-miR-3065-5p	ENSG00000152217
hsa-miR-1229-3p	ENSG00000118898
hsa-miR-1275	ENSG00000085998
hsa-miR-1229-3p	ENSG00000124225
hsa-miR-1275	ENSG00000010318
hsa-miR-1229-3p	ENSG00000167306
hsa-miR-495-3p	ENSG00000148187
hsa-miR-495-3p	ENSG00000128594
hsa-miR-1229-3p	ENSG00000152409
hsa-miR-1229-3p	ENSG00000198380
hsa-miR-3065-5p	ENSG00000109158
hsa-miR-495-3p	ENSG00000163577
hsa-miR-1229-3p	ENSG00000160683
hsa-miR-495-3p	ENSG00000163735
hsa-miR-1275	ENSG00000162129
hsa-miR-3065-5p	ENSG00000106392
hsa-miR-3065-5p	ENSG00000169621
hsa-miR-3065-5p	ENSG00000163297
hsa-miR-1229-3p	ENSG00000130772
hsa-miR-3065-5p	ENSG00000116661
hsa-miR-495-3p	ENSG00000074695
hsa-miR-495-3p	ENSG00000036549
